1000,AAAA800101,5000,1998-7-8,165
1010,BBBB800101,5001,2000-5-3,528
1020,CCCC800101,5002,2001-7-29,582
1030,DDDD800101,5003,1998-2-21,202
1040,EEEE800101,5004,1999-12-11,263
1050,FFFF800101,5005,2000-10-14,503
1060,GGGG800101,5006,2000-5-4,324
1070,HHHH800101,5007,1998-2-23,2
1080,AAAA800101,5008,1999-1-12,86
1090,BBBB800101,5009,2000-8-1,73
1100,CCCC800101,5010,2001-9-10,699
1110,DDDD800101,5011,2003-6-28,368
1120,EEEE800101,5012,2001-4-3,215
1130,FFFF800101,5013,2002-4-4,63
1140,GGGG800101,5014,2001-7-12,219
1150,HHHH800101,5015,1999-3-4,458
1160,AAAA800101,5016,2000-6-1,162
1170,BBBB800101,5017,1998-2-4,180
1180,CCCC800101,5018,2002-6-14,407
1190,DDDD800101,5019,1998-9-12,94
1200,EEEE800101,5000,2000-3-5,177
1210,FFFF800101,5001,1999-11-5,43
1220,GGGG800101,5002,2003-2-1,24
1230,HHHH800101,5003,2003-1-6,530
1240,AAAA800101,5004,2003-1-12,152
1250,BBBB800101,5005,2002-7-8,71
1260,CCCC800101,5006,1999-5-10,460
1270,DDDD800101,5007,1999-3-10,506
1280,EEEE800101,5008,2002-7-29,107
1290,FFFF800101,5009,1998-1-8,132
1300,GGGG800101,5010,2003-1-8,119
1310,HHHH800101,5011,2002-4-12,72
1320,AAAA800101,5012,2003-1-6,698
1330,BBBB800101,5013,1998-12-10,554
1340,CCCC800101,5014,2002-12-2,324
1350,DDDD800101,5015,1999-5-9,272
1360,EEEE800101,5016,2000-11-7,364
1370,FFFF800101,5017,2000-2-12,44
1380,GGGG800101,5018,2002-3-3,302
1390,HHHH800101,5019,2003-1-12,107
1400,AAAA800101,5000,2002-3-12,382
1410,BBBB800101,5001,2000-2-5,601
1420,CCCC800101,5002,1998-4-7,603
1430,DDDD800101,5003,1999-9-2,576
1000,AAAA800101,5019,1999-8-8,254
1010,BBBB800101,5018,2002-3-29,523
1020,CCCC800101,5017,1999-2-4,8
1030,DDDD800101,5016,2000-11-5,295
1040,EEEE800101,5015,2002-7-12,540
1050,FFFF800101,5014,1999-3-7,623
1060,GGGG800101,5013,2000-1-2,692
1070,HHHH800101,5012,1999-12-3,503
1080,AAAA800101,5011,2002-11-7,699
1090,BBBB800101,5010,1998-1-3,421
1100,CCCC800101,5009,2000-8-6,466
1110,DDDD800101,5008,1999-5-10,337
1120,EEEE800101,5007,2001-7-7,692
1130,FFFF800101,5006,2002-7-6,562
1140,GGGG800101,5005,2001-9-2,583
1150,HHHH800101,5004,2001-8-10,453
1160,AAAA800101,5019,1999-6-9,244
1170,BBBB800101,5018,1999-11-12,53
1180,CCCC800101,5017,2001-3-3,334
1190,DDDD800101,5016,2000-2-4,356
1200,EEEE800101,5015,2000-5-6,585
1210,FFFF800101,5014,2001-11-3,70
1220,GGGG800101,5013,2002-7-4,658
1230,HHHH800101,5012,2002-12-9,312
1240,AAAA800101,5011,2000-8-12,366
1250,BBBB800101,5010,2002-4-4,691
1260,CCCC800101,5009,1999-8-9,631
1270,DDDD800101,5008,1997-9-3,546
1280,EEEE800101,5007,2000-2-3,331
1290,FFFF800101,5006,2001-2-8,279
1300,GGGG800101,5005,2002-6-10,521
1310,HHHH800101,5019,2002-10-2,199
1320,AAAA800101,5018,2000-3-7,413
1330,BBBB800101,5017,2000-8-11,93
1340,CCCC800101,5016,1998-11-6,674
1350,DDDD800101,5015,1999-8-2,261
1360,EEEE800101,5014,2002-4-7,265
1370,FFFF800101,5013,2000-4-8,575
1380,GGGG800101,5012,1998-7-8,645
1390,HHHH800101,5011,2001-11-8,697
1400,AAAA800101,5010,1998-6-5,116
1410,BBBB800101,5009,2002-5-3,467
1420,CCCC800101,5008,2000-8-2,278
1430,DDDD800101,5007,1998-1-9,13
1000,AAAA800101,5019,2000-4-6,7
1010,BBBB800101,5018,2000-11-10,667
1020,CCCC800101,5017,2001-5-4,478
1030,DDDD800101,5016,1998-4-9,139
1040,EEEE800101,5015,2000-6-10,546
1050,FFFF800101,5014,1999-6-4,90
1060,GGGG800101,5013,2000-7-10,47
1070,HHHH800101,5012,2000-4-1,516
1080,AAAA800101,5011,2003-6-1,429
1090,BBBB800101,5010,1998-6-6,612
1100,CCCC800101,5009,2002-5-7,523
1110,DDDD800101,5008,2000-2-9,292
1120,EEEE800101,5007,1998-3-12,167
1130,FFFF800101,5006,1999-5-6,673
1140,GGGG800101,5005,1998-2-7,651
1150,HHHH800101,5004,2003-9-1,270
1160,AAAA800101,5019,2002-2-8,665
1170,BBBB800101,5018,2001-8-6,517
1180,CCCC800101,5017,2001-6-1,216
1190,DDDD800101,5016,2003-3-7,622
1200,EEEE800101,5015,2000-7-10,653
1210,FFFF800101,5014,2001-9-6,479
1220,GGGG800101,5013,2001-2-8,653
1230,HHHH800101,5012,1999-3-8,115
1240,AAAA800101,5011,2003-8-5,549
1250,BBBB800101,5010,1998-5-8,690
1260,CCCC800101,5009,2003-2-10,2
1270,DDDD800101,5008,2002-4-12,324
1280,EEEE800101,5007,2002-12-7,448
1290,FFFF800101,5006,1999-1-7,336
1300,GGGG800101,5005,2003-2-2,457
1310,HHHH800101,5019,2000-8-3,463
1320,AAAA800101,5018,1999-12-3,163
1330,BBBB800101,5017,1998-6-12,558
1340,CCCC800101,5016,1999-2-10,11
1350,DDDD800101,5015,1999-6-5,330
1360,EEEE800101,5014,2001-7-6,37
1370,FFFF800101,5013,2002-6-5,423
1380,GGGG800101,5012,2001-2-1,147
1390,HHHH800101,5011,2002-1-6,308
1400,AAAA800101,5010,2002-5-3,441
1410,BBBB800101,5009,2002-11-5,461
1420,CCCC800101,5008,2001-2-12,444
1430,DDDD800101,5007,2002-6-10,506
